value	 
a lot	 
about	1
above	1
after	1
airplane	1
all	1
all gone	 
alligator	0
animal	1
ankle	0
another	1
ant	0
any	1
apple	1
applesauce	0
arm	0
around	1
asleep	1
at	1
aunt	1
awake	0
away	1
baa baa	 
baby	0
babysitter	 
babysitter's name	 
back	1
backyard	0
bad	1
ball	1
balloon	0
banana	0
basement	0
basket	0
bat	0
bath	1
bathroom	1
bathtub	0
beach	1
beads	0
beans	0
bear	0
bed	1
bedroom	0
bee	1
before	1
behind	1
belly button	 
belt	0
bench	1
beside	0
better	1
bib	0
bicycle	0
big	1
bird	0
bite	0
black	1
blanket	1
block	0
blow	0
blue	1
boat	0
book	1
boots	1
bottle	0
bowl	0
box	1
boy	1
bread	0
break	1
breakfast	0
bring	1
broken	0
broom	0
brother	1
brown	1
brush	1
bubbles	0
bucket	0
bug	0
build	1
bump	1
bunny	0
bus	0
butter	1
butterfly	0
buttocks	 
button	0
buy	1
by	1
bye	1
cake	0
call	1
camera	0
camping	0
candy	0
car	0
careful	1
carrots	0
carry	1
cat	0
catch	1
cereal	0
chair	0
chalk	0
chase	0
cheek	0
cheerios	0
cheese	0
child	0
child's own name	 
chin	0
chocolate	1
choo choo	 
church	0
circus	0
clap	0
climb	0
clock	1
close	1
closet	0
cloud	0
clown	0
coat	1
cockadoodledoo	 
coffee	0
coke	0
cold	1
comb	1
cook	0
cookie	0
corn	0
couch	1
country	0
cover	0
cow	1
cowboy	0
cracker	0
crayon	0
crib	0
cry	0
cup	0
cut	1
cute	1
daddy	0
dance	0
dark	1
day	1
deer	0
diaper	0
did	1
dinner	1
dirty	0
dish	0
doctor	0
dog	1
doll	0
donkey	0
donut	0
door	1
down	1
downtown	0
draw	0
drawer	0
dress	1
drive	0
drop	0
dryer	0
duck	0
dump	1
each	1
ear	0
eat	1
egg	1
elephant	0
empty	0
every	1
eye	0
face	1
fall	1
farm	0
fast	1
feed	0
find	1
fine	0
finger	1
finish	1
fireman	0
firetruck	0
first	1
fit	1
fix	1
flag	0
flower	0
food	1
foot	1
for	1
fork	0
french fries	 
friend	1
frog	0
full	1
game	1
garage	0
garbage	0
garden	1
gas station	 
gentle	1
get	1
giraffe	0
girl	1
give	1
give me five!	 
glass	1
glasses	0
gloves	0
glue	0
go	1
go potty	 
gonna get you!	 
going to	 
good	1
goose	0
got to	 
grandma	0
grandpa	0
grapes	0
grass	0
green	1
green beans	 
grrr	0
gum	0
have to	 
hair	1
hamburger	0
hammer	0
hand	1
happy	1
hard	1
hat	0
hate	0
have	1
he	1
head	1
hear	1
heavy	1
helicopter	0
hello	1
help	1
hen	0
her	1
here	1
hers	1
hi	0
hide	1
high	0
high chair	 
him	1
his	1
hit	1
hold	1
home	1
horse	0
hose	0
hot	1
house	1
how	1
hug	0
hungry	1
hurry	1
hurt	1
I	 
ice	1
ice cream	 
inside	1
into	1
it	1
jacket	0
jar	0
jeans	1
jello	0
jelly	1
juice	0
jump	1
keys	1
kick	0
kiss	1
kitchen	1
kitty	0
knee	1
knife	1
knock	1
ladder	0
lady	0
lamb	0
lamp	0
last	1
later	1
lawn mower	 
leg	0
let me	 
lick	0
light	1
like	1
lion	0
lips	0
listen	0
little	1
living room	 
lollipop	0
long	1
look	1
loud	1
love	0
lunch	0
mad	1
mailman	0
make	1
man	1
me	1
meat	1
medicine	0
melon	0
meow	0
milk	1
mine	0
mittens	0
mommy	0
money	1
monkey	0
moo	0
moon	1
moose	0
mop	0
more	1
morning	1
motorcycle	0
mouse	0
mouth	1
movie	1
much	1
muffin	0
my	1
myself	1
nail	0
nap	1
napkin	0
naughty	0
necklace	0
need to	 
new	1
next to	 
nice	1
night	1
night night	 
no	0
noisy	0
none	1
noodles	0
nose	0
not	1
now	1
nurse	0
nuts	0
of	1
off	1
old	1
on	1
on top of	 
open	1
other	1
ouch	0
our	1
out	1
outside	0
oven	1
over	1
boo boo	 
owl	0
paint	0
pajamas	0
pancake	0
